Date: 07-04 at 20:19:21, iter: 54, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1345.77(11) mean: 1381.56, max: 1424.30
Date: 07-04 at 20:20:37, iter: 55, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1344.16(11) mean: 1353.55, max: 1394.92
Date: 07-04 at 20:21:49, iter: 56, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1344.16(11) mean: 1384.48, max: 1463.89
Date: 07-04 at 20:23:15, iter: 57, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1344.16(11) mean: 1360.08, max: 1407.58
Date: 07-04 at 20:24:46, iter: 58, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1350.11, max: 1385.79
Date: 07-04 at 20:25:49, iter: 59, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1370.81, max: 1411.55
Date: 07-04 at 20:27:20, iter: 60, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1355.27, max: 1388.19
Date: 07-04 at 20:28:51, iter: 61, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1357.79, max: 1426.70
Date: 07-04 at 20:30:15, iter: 62, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1348.19, max: 1370.48
Date: 07-04 at 20:31:27, iter: 63, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1355.50, max: 1396.26
Date: 07-04 at 20:33:01, iter: 64, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1351.08, max: 1396.62
Date: 07-04 at 20:34:34, iter: 65, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1352.75, max: 1412.82
Date: 07-04 at 20:35:56, iter: 66, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1354.63, max: 1467.45
Date: 07-04 at 20:37:26, iter: 67, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1350.63, max: 1393.37
Date: 07-04 at 20:39:13, iter: 68, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1348.27, max: 1376.22
Date: 07-04 at 20:40:45, iter: 69, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1348.27, max: 1376.22
Date: 07-04 at 20:42:27, iter: 70, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1348.27, max: 1376.22
Date: 07-04 at 20:43:55, iter: 71, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1348.27, max: 1376.22
Date: 07-04 at 20:45:23, iter: 72, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1348.27, max: 1376.22
Date: 07-04 at 20:46:56, iter: 73, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1348.27, max: 1376.22
Date: 07-04 at 20:48:30, iter: 74, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1352.40, max: 1382.35
Date: 07-04 at 20:50:05, iter: 75, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1343.39(11) mean: 1347.80, max: 1376.22
