Date: 07-04 at 07:37:54, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:39:10, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:40:37, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:42:01, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:43:17, iter: 56, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:44:37, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:46:02, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:47:30, iter: 59, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:48:58, iter: 60, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:50:13, iter: 61, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:51:27, iter: 62, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:52:51, iter: 63, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:54:15, iter: 64, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:55:37, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:56:50, iter: 66, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:58:06, iter: 67, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:59:28, iter: 68, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 08:00:54, iter: 69, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1414.95, max: 1451.21
Date: 07-04 at 08:02:08, iter: 70, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.39, max: 1412.87
Date: 07-04 at 08:03:27, iter: 71, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:04:46, iter: 72, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:06:03, iter: 73, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:07:24, iter: 74, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:08:45, iter: 75, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
Date: 07-04 at 08:10:05, iter: 76, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.35, max: 1412.35
