Date: 07-20 at 23:56:29, #particle: 35, iter: 74, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1715.24, max: 1751.09
Date: 07-20 at 23:59:50, #particle: 35, iter: 75, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1713.25, max: 1754.52
Date: 07-21 at 00:03:14, #particle: 35, iter: 76, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1712.52, max: 1749.48
Date: 07-21 at 00:06:25, #particle: 35, iter: 77, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1715.97, max: 1778.37
Date: 07-21 at 00:09:00, #particle: 35, iter: 78, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1725.27, max: 1812.41
Date: 07-21 at 00:11:38, #particle: 35, iter: 79, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1713.29, max: 1795.40
Date: 07-21 at 00:14:19, #particle: 35, iter: 80, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1708.20, max: 1795.69
Date: 07-21 at 00:17:06, #particle: 35, iter: 81, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1704.48, max: 1728.81
Date: 07-21 at 00:19:53, #particle: 35, iter: 82, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1714.10, max: 1779.12
Date: 07-21 at 00:22:41, #particle: 35, iter: 84, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 2152.29, max: 2773.47
Date: 07-21 at 00:25:38, #particle: 35, iter: 85, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1775.94, max: 1948.15
Date: 07-21 at 00:29:06, #particle: 35, iter: 86, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1806.67, max: 1983.12
Date: 07-21 at 00:32:29, #particle: 35, iter: 87, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1743.73, max: 1866.11
