Date: 07-07 at 18:32:20, iter: 104, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:34:03, iter: 105, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:35:25, iter: 106, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:36:49, iter: 107, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:38:22, iter: 108, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:39:48, iter: 109, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:41:13, iter: 110, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:42:34, iter: 111, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:43:59, iter: 113, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1987.38, max: 3436.18
Date: 07-07 at 18:45:32, iter: 114, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1444.94, max: 3245.51
Date: 07-07 at 18:46:58, iter: 115, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1430.73, max: 3015.88
Date: 07-07 at 18:48:24, iter: 116, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1195.60, max: 1356.35
Date: 07-07 at 18:49:54, iter: 117, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1195.46, max: 1350.57
Date: 07-07 at 18:51:23, iter: 118, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1218.68, max: 1379.95
Date: 07-07 at 18:52:55, iter: 119, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1255.00, max: 1529.81
Date: 07-07 at 18:54:23, iter: 120, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1179.75, max: 1284.14
Date: 07-07 at 18:55:53, iter: 121, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1185.09, max: 1324.89
Date: 07-07 at 18:57:22, iter: 122, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1172.39, max: 1335.17
Date: 07-07 at 18:58:58, iter: 123, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1187.77, max: 1402.26
Date: 07-07 at 19:00:24, iter: 124, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1176.23, max: 1281.54
Date: 07-07 at 19:01:53, iter: 125, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1170.72, max: 1287.25
Date: 07-07 at 19:03:21, iter: 126, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1166.52, max: 1255.06
Date: 07-07 at 19:04:45, iter: 127, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1167.75, max: 1255.06
Date: 07-07 at 19:06:11, iter: 128, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1170.38, max: 1262.05
Date: 07-07 at 19:07:48, iter: 129, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1161.92, max: 1307.36
Date: 07-07 at 19:09:21, iter: 130, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1144.51, max: 1222.23
Date: 07-07 at 19:10:48, iter: 131, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1140.62, max: 1181.06
Date: 07-07 at 19:12:10, iter: 132, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1141.71, max: 1181.06
Date: 07-07 at 19:13:40, iter: 133, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1142.79, max: 1194.27
Date: 07-07 at 19:15:10, iter: 134, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1142.30, max: 1197.88
Date: 07-07 at 19:16:43, iter: 135, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1142.11, max: 1191.66
Date: 07-07 at 19:18:11, iter: 136, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1152.61, max: 1225.48
Date: 07-07 at 19:19:38, iter: 137, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1147.35, max: 1229.09
Date: 07-07 at 19:21:19, iter: 138, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1135.57, max: 1153.69
Date: 07-07 at 19:22:46, iter: 139, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1135.20, max: 1148.95
Date: 07-07 at 19:24:14, iter: 140, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1135.20, max: 1148.95
Date: 07-07 at 19:25:39, iter: 141, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1134.51, max: 1148.95
Date: 07-07 at 19:27:20, iter: 142, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1134.51, max: 1148.95
Date: 07-07 at 19:29:02, iter: 143, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1134.51, max: 1148.95
Date: 07-07 at 19:30:30, iter: 144, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1134.51, max: 1148.95
Date: 07-07 at 19:32:11, iter: 145, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1134.51, max: 1148.95
Date: 07-07 at 19:33:37, iter: 146, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1134.51, max: 1148.95
Date: 07-07 at 19:35:08, iter: 147, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1133.42, max: 1148.95
Date: 07-07 at 19:36:54, iter: 148, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1133.36, max: 1148.95
Date: 07-07 at 19:38:21, iter: 149, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1135.19, max: 1174.24
Date: 07-07 at 19:39:58, iter: 150, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:41:20, iter: 151, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:42:41, iter: 152, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:44:13, iter: 153, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:45:34, iter: 154, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:47:00, iter: 155, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:48:28, iter: 156, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:49:55, iter: 157, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:51:22, iter: 158, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:52:56, iter: 159, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:54:34, iter: 160, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:56:01, iter: 161, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 19:57:28, iter: 163, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1944.74, max: 3204.68
