Date: 11-07 at 22:12:26, #particle: 15, iter: 53, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1252.83, max: 1304.68
Date: 11-07 at 22:13:34, #particle: 15, iter: 54, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1250.88, max: 1299.00
Date: 11-07 at 22:14:46, #particle: 15, iter: 55, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1250.31, max: 1296.92
Date: 11-07 at 22:15:49, #particle: 15, iter: 56, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1249.97, max: 1296.92
Date: 11-07 at 22:16:55, #particle: 15, iter: 57, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1263.91, max: 1381.87
Date: 11-07 at 22:18:05, #particle: 15, iter: 59, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1520.10, max: 1738.99
Date: 11-07 at 22:19:12, #particle: 15, iter: 60, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1392.97, max: 1646.63
Date: 11-07 at 22:20:17, #particle: 15, iter: 61, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1328.04, max: 1590.14
Date: 11-07 at 22:21:25, #particle: 15, iter: 62, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1302.24, max: 1493.08
Date: 11-07 at 22:22:29, #particle: 15, iter: 64, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1590.65, max: 1877.92
Date: 11-07 at 22:23:33, #particle: 15, iter: 65, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1462.15, max: 1718.89
Date: 11-07 at 22:24:43, #particle: 15, iter: 66, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1317.13, max: 1459.78
Date: 11-07 at 22:25:47, #particle: 15, iter: 67, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1294.90, max: 1408.16
Date: 11-07 at 22:26:52, #particle: 15, iter: 69, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1636.56, max: 1982.32
Date: 11-07 at 22:27:59, #particle: 15, iter: 70, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1543.72, max: 1984.27
Date: 11-07 at 22:28:59, #particle: 15, iter: 71, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1446.11, max: 1967.50
Date: 11-07 at 22:30:05, #particle: 15, iter: 72, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1349.05, max: 1876.16
Date: 11-07 at 22:31:14, #particle: 15, iter: 74, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1575.13, max: 1783.38
Date: 11-07 at 22:32:20, #particle: 15, iter: 75, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.32(8), mean: 1418.39, max: 1764.30
