Date: 12-18 at 15:16:19, #particle: 15, iter: 48, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.78(12), mean: 1031.99, max: 1043.31
Date: 12-18 at 15:17:18, #particle: 15, iter: 49, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.78(12), mean: 1030.64, max: 1039.11
Date: 12-18 at 15:18:11, #particle: 15, iter: 50, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1029.62, max: 1031.43
Date: 12-18 at 15:19:04, #particle: 15, iter: 51, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1038.81, max: 1056.34
Date: 12-18 at 15:19:59, #particle: 15, iter: 52, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1032.02, max: 1041.91
Date: 12-18 at 15:20:58, #particle: 15, iter: 53, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1033.04, max: 1066.04
Date: 12-18 at 15:21:56, #particle: 15, iter: 54, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1030.42, max: 1035.54
Date: 12-18 at 15:22:49, #particle: 15, iter: 55, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1030.70, max: 1040.15
Date: 12-18 at 15:23:44, #particle: 15, iter: 56, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1029.66, max: 1031.03
Date: 12-18 at 15:24:39, #particle: 15, iter: 57, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1029.66, max: 1031.03
Date: 12-18 at 15:25:37, #particle: 15, iter: 58, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1029.66, max: 1031.03
Date: 12-18 at 15:26:31, #particle: 15, iter: 59, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1033.27, max: 1083.13
Date: 12-18 at 15:27:23, #particle: 15, iter: 60, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.62(12), mean: 1034.56, max: 1065.43
