Date: 08-02 at 01:52:21, #particle: 15, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 2986.23, max: 3726.21
Date: 08-02 at 01:53:07, #particle: 15, iter: 56, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 2655.89, max: 3562.06
Date: 08-02 at 01:53:53, #particle: 15, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 1958.11, max: 2791.46
Date: 08-02 at 01:54:40, #particle: 15, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 1125.23, max: 1676.93
Date: 08-02 at 01:55:22, #particle: 15, iter: 59, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 916.35, max: 1129.53
Date: 08-02 at 01:56:04, #particle: 15, iter: 60, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 829.49(6), mean: 905.97, max: 973.19
Date: 08-02 at 01:56:46, #particle: 15, iter: 61, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 815.99(5), mean: 918.59, max: 983.14
Date: 08-02 at 01:57:25, #particle: 15, iter: 62, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 815.17(5), mean: 928.08, max: 994.54
Date: 08-02 at 01:58:06, #particle: 15, iter: 63, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 815.17(5), mean: 958.03, max: 1036.09
Date: 08-02 at 01:58:53, #particle: 15, iter: 64, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 815.17(5), mean: 858.16, max: 879.25
Date: 08-02 at 01:59:34, #particle: 15, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 815.17(5), mean: 865.15, max: 933.66
Date: 08-02 at 02:00:17, #particle: 15, iter: 66, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 815.17(5), mean: 893.69, max: 982.43
Date: 08-02 at 02:01:00, #particle: 15, iter: 67, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 815.17(5), mean: 846.14, max: 875.70
Date: 08-02 at 02:01:41, #particle: 15, iter: 68, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 815.17(5), mean: 848.27, max: 914.02
