Date: 07-29 at 12:29:33, #particle: 15, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5394.73, max: 5783.20
Date: 07-29 at 12:46:41, #particle: 15, iter: 66, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5454.81, max: 5885.90
Date: 07-29 at 13:03:56, #particle: 15, iter: 67, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5514.24, max: 5924.18
Date: 07-29 at 13:21:12, #particle: 15, iter: 68, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5613.15, max: 6053.48
Date: 07-29 at 13:38:32, #particle: 15, iter: 69, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5731.00, max: 6175.36
Date: 07-29 at 13:56:46, #particle: 15, iter: 71, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 9214.77, max: 10064.93
Date: 07-29 at 14:14:08, #particle: 15, iter: 72, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8890.99, max: 10129.54
Date: 07-29 at 14:31:33, #particle: 15, iter: 73, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8321.18, max: 10104.36
Date: 07-29 at 14:49:01, #particle: 15, iter: 74, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8039.49, max: 10022.37
Date: 07-29 at 15:07:07, #particle: 15, iter: 75, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 7545.99, max: 10029.43
Date: 07-29 at 15:25:38, #particle: 15, iter: 76, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 7421.72, max: 9697.00
Date: 07-29 at 15:45:18, #particle: 15, iter: 77, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5234.82, max: 5573.59
Date: 07-29 at 16:03:27, #particle: 15, iter: 78, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5319.22, max: 5661.17
Date: 07-29 at 16:22:14, #particle: 15, iter: 79, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5314.37, max: 5818.41
Date: 07-29 at 16:41:14, #particle: 15, iter: 81, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 9181.97, max: 10185.29
Date: 07-29 at 16:58:47, #particle: 15, iter: 82, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8749.59, max: 10123.23
Date: 07-29 at 17:16:47, #particle: 15, iter: 83, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8480.74, max: 10031.73
Date: 07-29 at 17:34:19, #particle: 15, iter: 84, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8470.49, max: 10012.04
Date: 07-29 at 17:52:01, #particle: 15, iter: 85, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8138.21, max: 9896.95
