Date: 07-29 at 05:28:54, #particle: 15, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8709.46, max: 9363.89
Date: 07-29 at 05:40:45, #particle: 15, iter: 59, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8716.07, max: 9433.76
Date: 07-29 at 05:52:36, #particle: 15, iter: 60, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8716.82, max: 9456.59
Date: 07-29 at 06:04:32, #particle: 15, iter: 61, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8729.69, max: 9499.36
Date: 07-29 at 06:16:31, #particle: 15, iter: 62, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8761.80, max: 9536.88
Date: 07-29 at 06:28:34, #particle: 15, iter: 63, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8783.46, max: 9618.10
Date: 07-29 at 06:40:37, #particle: 15, iter: 64, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8761.40, max: 9604.59
Date: 07-29 at 06:54:01, #particle: 15, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 6057.34, max: 6382.47
Date: 07-29 at 07:22:38, #particle: 15, iter: 67, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8800.62, max: 9229.61
Date: 07-29 at 07:34:16, #particle: 15, iter: 68, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8797.07, max: 9350.02
Date: 07-29 at 07:46:03, #particle: 15, iter: 69, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8840.90, max: 9417.21
Date: 07-29 at 07:57:41, #particle: 15, iter: 70, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8818.28, max: 9390.50
Date: 07-29 at 08:09:21, #particle: 15, iter: 71, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8821.21, max: 9377.73
Date: 07-29 at 08:21:04, #particle: 15, iter: 72, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8779.35, max: 9290.10
Date: 07-29 at 08:32:49, #particle: 15, iter: 73, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8760.42, max: 9301.75
Date: 07-29 at 08:45:45, #particle: 15, iter: 74, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 6158.16, max: 6482.85
Date: 07-29 at 08:57:38, #particle: 15, iter: 75, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 6228.87, max: 6598.04
Date: 07-29 at 09:25:57, #particle: 15, iter: 77, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8713.24, max: 9469.89
Date: 07-29 at 09:37:42, #particle: 15, iter: 78, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8777.35, max: 9566.08
Date: 07-29 at 09:49:31, #particle: 15, iter: 79, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8803.37, max: 9618.52
Date: 07-29 at 10:01:24, #particle: 15, iter: 80, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8595.77, max: 9547.59
Date: 07-29 at 10:13:26, #particle: 15, iter: 81, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8569.23, max: 9568.81
