Date: 07-05 at 13:25:09, iter: 54, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(11) mean: 1161.02, max: 1204.77
Date: 07-05 at 13:26:32, iter: 55, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(11) mean: 1165.33, max: 1232.33
Date: 07-05 at 13:27:53, iter: 56, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(11) mean: 1162.11, max: 1203.72
Date: 07-05 at 13:29:08, iter: 57, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(11) mean: 1166.00, max: 1204.92
Date: 07-05 at 13:30:20, iter: 58, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(11) mean: 1189.49, max: 1232.69
Date: 07-05 at 13:31:45, iter: 59, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.16(11) mean: 1164.19, max: 1261.99
Date: 07-05 at 13:33:13, iter: 60, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1142.19(11) mean: 1156.10, max: 1205.37
Date: 07-05 at 13:34:43, iter: 61, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1139.99(11) mean: 1153.46, max: 1203.50
Date: 07-05 at 13:35:55, iter: 62, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1139.99(11) mean: 1165.43, max: 1229.18
Date: 07-05 at 13:37:13, iter: 63, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1139.99(11) mean: 1143.93, max: 1171.17
Date: 07-05 at 13:38:21, iter: 64, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1139.99(11) mean: 1142.92, max: 1176.15
Date: 07-05 at 13:39:38, iter: 65, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1139.99(11) mean: 1147.52, max: 1228.93
Date: 07-05 at 13:40:53, iter: 66, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1138.24(11) mean: 1139.90, max: 1140.44
Date: 07-05 at 13:42:12, iter: 67, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1139.87, max: 1140.44
Date: 07-05 at 13:43:36, iter: 68, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1139.87, max: 1140.44
Date: 07-05 at 13:44:46, iter: 69, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1148.84, max: 1162.85
Date: 07-05 at 13:45:56, iter: 70, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1140.12, max: 1143.67
