Date: 07-01 at 20:40:34, iter: 68, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:42:35, iter: 70, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:44:04, iter: 71, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:45:29, iter: 72, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:46:58, iter: 73, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:49:01, iter: 75, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:50:39, iter: 76, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:52:18, iter: 77, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:53:52, iter: 78, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:55:59, iter: 80, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 830.37, max: 850.40
Date: 07-01 at 20:57:53, iter: 82, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 1902.38, max: 3383.73
Date: 07-01 at 20:59:36, iter: 83, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 1099.42, max: 1569.36
Date: 07-01 at 21:01:28, iter: 84, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 1067.08, max: 1497.34
Date: 07-01 at 21:03:30, iter: 86, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 1046.55, max: 1705.65
Date: 07-01 at 21:05:17, iter: 87, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 929.56, max: 1165.43
Date: 07-01 at 21:07:06, iter: 88, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 898.70, max: 1043.10
Date: 07-01 at 21:08:50, iter: 89, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 881.16, max: 1001.30
Date: 07-01 at 21:10:48, iter: 91, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 859.00, max: 992.95
Date: 07-01 at 21:12:41, iter: 92, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 848.15, max: 967.72
Date: 07-01 at 21:14:46, iter: 93, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 848.05, max: 967.00
Date: 07-01 at 21:16:39, iter: 94, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 847.92, max: 965.10
Date: 07-01 at 21:18:50, iter: 96, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 870.63, max: 1131.99
Date: 07-01 at 21:20:42, iter: 97, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 856.89, max: 1054.42
Date: 07-01 at 21:22:34, iter: 98, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 850.18, max: 965.10
Date: 07-01 at 21:24:26, iter: 99, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 845.70, max: 965.10
Date: 07-01 at 21:26:34, iter: 101, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 844.81, max: 951.72
Date: 07-01 at 21:28:26, iter: 102, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 844.90, max: 951.72
Date: 07-01 at 21:30:11, iter: 103, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 844.81, max: 951.72
Date: 07-01 at 21:32:03, iter: 104, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 844.81, max: 951.72
Date: 07-01 at 21:34:11, iter: 106, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 848.34, max: 951.72
Date: 07-01 at 21:36:01, iter: 107, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 847.86, max: 951.72
Date: 07-01 at 21:37:53, iter: 108, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 844.81, max: 951.72
Date: 07-01 at 21:39:53, iter: 109, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 844.81, max: 951.72
Date: 07-01 at 21:42:10, iter: 111, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 844.81, max: 951.72
Date: 07-01 at 21:43:59, iter: 112, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 844.81, max: 951.72
Date: 07-01 at 21:45:51, iter: 113, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 840.08, max: 951.72
Date: 07-01 at 21:47:43, iter: 114, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 839.81, max: 951.72
Date: 07-01 at 21:49:50, iter: 116, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 837.12, max: 951.72
Date: 07-01 at 21:51:44, iter: 117, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 837.12, max: 951.72
Date: 07-01 at 21:53:19, iter: 118, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 837.12, max: 951.72
Date: 07-01 at 21:55:04, iter: 119, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 837.12, max: 951.72
Date: 07-01 at 21:57:03, iter: 121, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 843.76, max: 1051.22
