Date: 07-01 at 10:02:06, iter: 75, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 2114.02, max: 3696.43
Date: 07-01 at 10:03:33, iter: 76, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1203.24, max: 1540.99
Date: 07-01 at 10:05:12, iter: 77, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1218.60, max: 1569.69
Date: 07-01 at 10:06:50, iter: 78, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1197.34, max: 1595.58
Date: 07-01 at 10:08:31, iter: 79, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1124.76, max: 1382.98
Date: 07-01 at 10:09:57, iter: 80, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1117.03, max: 1375.28
Date: 07-01 at 10:11:25, iter: 81, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1023.63(12) mean: 1095.06, max: 1250.87
Date: 07-01 at 10:13:05, iter: 82, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1021.30(12) mean: 1117.83, max: 1253.85
Date: 07-01 at 10:14:38, iter: 83, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1021.30(12) mean: 1095.48, max: 1241.14
Date: 07-01 at 10:16:10, iter: 84, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1021.30(12) mean: 1067.36, max: 1171.32
Date: 07-01 at 10:17:46, iter: 85, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1059.49, max: 1136.57
Date: 07-01 at 10:19:17, iter: 86, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1023.02, max: 1122.99
Date: 07-01 at 10:20:49, iter: 87, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1024.45, max: 1090.36
Date: 07-01 at 10:22:25, iter: 88, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1010.10, max: 1048.59
Date: 07-01 at 10:24:01, iter: 89, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 998.78, max: 1026.05
Date: 07-01 at 10:25:30, iter: 90, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 998.30, max: 1026.05
Date: 07-01 at 10:26:53, iter: 91, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 996.94, max: 1026.05
Date: 07-01 at 10:28:16, iter: 92, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 996.94, max: 1026.05
Date: 07-01 at 10:29:33, iter: 93, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 996.94, max: 1026.05
Date: 07-01 at 10:30:51, iter: 94, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 996.94, max: 1026.05
Date: 07-01 at 10:32:10, iter: 95, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:33:32, iter: 96, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:35:03, iter: 97, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:36:30, iter: 98, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:38:05, iter: 99, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:39:29, iter: 100, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:40:56, iter: 101, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:42:25, iter: 102, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:43:48, iter: 103, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:45:17, iter: 104, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:46:49, iter: 105, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:48:16, iter: 106, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:49:50, iter: 107, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:51:16, iter: 108, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:52:51, iter: 109, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:54:20, iter: 110, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:56:04, iter: 111, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:57:46, iter: 112, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 10:59:19, iter: 113, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:00:51, iter: 114, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:02:25, iter: 115, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:04:00, iter: 116, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:05:36, iter: 117, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:07:12, iter: 118, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:08:52, iter: 119, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:10:30, iter: 120, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:12:07, iter: 121, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:13:45, iter: 122, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:15:28, iter: 123, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:17:24, iter: 124, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:19:11, iter: 125, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:20:57, iter: 126, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:22:49, iter: 127, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
Date: 07-01 at 11:24:33, iter: 128, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 994.78, max: 994.78
