Date: 07-20 at 15:55:07, #particle: 10, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1701.28, max: 1749.55
Date: 07-20 at 15:55:48, #particle: 10, iter: 64, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1741.18, max: 1797.70
Date: 07-20 at 15:56:35, #particle: 10, iter: 66, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1735.87, max: 1872.96
Date: 07-20 at 15:57:16, #particle: 10, iter: 67, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1731.25, max: 1898.63
Date: 07-20 at 15:57:59, #particle: 10, iter: 68, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1738.53, max: 1918.00
Date: 07-20 at 15:58:40, #particle: 10, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1737.59, max: 1904.55
Date: 07-20 at 15:59:30, #particle: 10, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1729.85, max: 1872.25
Date: 07-20 at 16:00:13, #particle: 10, iter: 72, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1684.30, max: 1709.31
Date: 07-20 at 16:00:55, #particle: 10, iter: 73, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1700.90, max: 1744.69
Date: 07-20 at 16:01:40, #particle: 10, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1686.85, max: 1717.22
Date: 07-20 at 16:02:27, #particle: 10, iter: 76, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1741.21, max: 1900.80
Date: 07-20 at 16:03:10, #particle: 10, iter: 77, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1739.52, max: 1922.94
Date: 07-20 at 16:03:52, #particle: 10, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1711.62, max: 1906.77
Date: 07-20 at 16:04:35, #particle: 10, iter: 79, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1686.22, max: 1720.40
Date: 07-20 at 16:05:19, #particle: 10, iter: 81, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1725.64, max: 1880.06
Date: 07-20 at 16:06:04, #particle: 10, iter: 82, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1707.85, max: 1878.26
Date: 07-20 at 16:06:48, #particle: 10, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1719.59, max: 1857.94
