Date: 07-10 at 06:04:36, iter: 75, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 645.27, max: 686.01
Date: 07-10 at 06:05:09, iter: 76, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:05:55, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 723.50, max: 1288.62
Date: 07-10 at 06:06:20, iter: 79, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 708.25, max: 1175.07
Date: 07-10 at 06:06:46, iter: 80, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 667.28, max: 869.67
Date: 07-10 at 06:07:16, iter: 81, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 663.64, max: 837.33
Date: 07-10 at 06:07:57, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 781.88, max: 1529.23
Date: 07-10 at 06:08:25, iter: 84, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 728.00, max: 1267.55
Date: 07-10 at 06:08:57, iter: 85, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 710.08, max: 1259.85
Date: 07-10 at 06:09:26, iter: 86, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 655.45, max: 745.84
Date: 07-10 at 06:10:00, iter: 88, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 768.23, max: 1186.53
Date: 07-10 at 06:10:32, iter: 89, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 716.86, max: 1147.06
Date: 07-10 at 06:10:59, iter: 90, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 690.54, max: 1187.73
Date: 07-10 at 06:11:22, iter: 91, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 658.28, max: 884.27
Date: 07-10 at 06:12:09, iter: 93, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 698.98, max: 950.50
Date: 07-10 at 06:12:40, iter: 94, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 650.82, max: 707.26
Date: 07-10 at 06:13:12, iter: 95, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.35, max: 645.27
