Date: 08-11 at 11:22:45, iter: 186, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(11) mean: 1152.82, max: 1154.35
Date: 08-11 at 11:24:54, iter: 187, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1156.12, max: 1264.38
Date: 08-11 at 11:27:05, iter: 188, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1157.00, max: 1264.38
Date: 08-11 at 11:30:01, iter: 190, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1157.17, max: 1264.38
Date: 08-11 at 11:32:13, iter: 191, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1155.99, max: 1264.38
Date: 08-11 at 11:34:30, iter: 192, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1156.74, max: 1264.38
Date: 08-11 at 11:36:38, iter: 193, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1155.97, max: 1264.38
Date: 08-11 at 11:39:37, iter: 195, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1160.61, max: 1264.38
Date: 08-11 at 11:41:46, iter: 196, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1157.72, max: 1264.38
Date: 08-11 at 11:44:04, iter: 197, new3, Khoo: 1135.52, current_best: 1152.22 best obj: 1152.22(10) mean: 1152.89, max: 1157.80
Date: 08-11 at 11:46:18, iter: 198, new3, Khoo: 1135.52, current_best: 1150.84 best obj: 1150.84(10) mean: 1152.69, max: 1152.76
Date: 08-11 at 11:48:35, iter: 199, new3, Khoo: 1135.52, current_best: 1148.15 best obj: 1148.15(10) mean: 1152.61, max: 1152.76
Date: 08-11 at 11:50:39, iter: 200, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1166.20, max: 1166.89
Date: 08-11 at 11:52:56, iter: 201, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1156.30, max: 1161.68
Date: 08-11 at 11:55:15, iter: 202, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1156.02, max: 1161.68
Date: 08-11 at 11:57:29, iter: 203, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1156.02, max: 1161.68
Date: 08-11 at 12:00:02, iter: 205, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1159.62, max: 1235.68
Date: 08-11 at 12:02:16, iter: 206, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1155.10, max: 1177.30
Date: 08-11 at 12:04:32, iter: 207, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1154.64, max: 1161.68
Date: 08-11 at 12:06:42, iter: 208, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1154.64, max: 1161.68
Date: 08-11 at 12:09:21, iter: 210, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1157.85, max: 1210.75
Date: 08-11 at 12:12:01, iter: 212, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(11) mean: 1155.75, max: 1177.62
Date: 08-11 at 12:14:13, iter: 213, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1164.94, max: 1270.11
Date: 08-11 at 12:16:33, iter: 214, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1162.06, max: 1270.01
Date: 08-11 at 12:19:04, iter: 216, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1181.09, max: 1398.34
Date: 08-11 at 12:21:20, iter: 217, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1163.36, max: 1270.01
Date: 08-11 at 12:23:34, iter: 218, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1159.65, max: 1230.39
Date: 08-11 at 12:25:53, iter: 219, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1164.73, max: 1269.57
Date: 08-11 at 12:28:37, iter: 221, new3, Khoo: 1135.52, current_best: 1147.54 best obj: 1147.54(10) mean: 1167.27, max: 1298.87
