Date: 07-17 at 14:47:35, iter: 76, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1699.99, max: 1826.15
Date: 07-17 at 14:48:38, iter: 77, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1689.15, max: 1810.91
Date: 07-17 at 14:49:41, iter: 78, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1698.00, max: 1735.97
Date: 07-17 at 14:50:44, iter: 79, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1689.98, max: 1750.30
Date: 07-17 at 14:51:48, iter: 81, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1698.71, max: 1866.36
Date: 07-17 at 14:52:47, iter: 82, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1685.57, max: 1743.80
Date: 07-17 at 14:53:55, iter: 83, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1684.06, max: 1731.87
Date: 07-17 at 14:54:59, iter: 84, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1683.02, max: 1731.87
Date: 07-17 at 14:56:05, iter: 86, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1716.41, max: 1823.51
Date: 07-17 at 14:57:12, iter: 87, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1698.24, max: 1850.88
Date: 07-17 at 14:58:16, iter: 88, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1687.10, max: 1751.29
Date: 07-17 at 14:59:24, iter: 89, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1685.03, max: 1797.37
Date: 07-17 at 15:00:30, iter: 91, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1725.16, max: 1844.79
Date: 07-17 at 15:01:32, iter: 92, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1706.92, max: 1837.15
Date: 07-17 at 15:02:35, iter: 93, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1699.34, max: 1820.01
Date: 07-17 at 15:03:47, iter: 94, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1688.70, max: 1782.34
Date: 07-17 at 15:04:52, iter: 96, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1709.36, max: 1850.91
Date: 07-17 at 15:05:59, iter: 97, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1709.55, max: 1856.40
Date: 07-17 at 15:07:04, iter: 98, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1683.78, max: 1736.03
Date: 07-17 at 15:08:08, iter: 100, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 2162.47, max: 2895.20
Date: 07-17 at 15:09:16, iter: 102, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1769.26, max: 2031.56
Date: 07-17 at 15:10:20, iter: 103, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1778.05, max: 2084.74
Date: 07-17 at 15:11:28, iter: 104, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1776.76, max: 2100.13
Date: 07-17 at 15:12:33, iter: 105, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1777.50, max: 2123.81
Date: 07-17 at 15:13:41, iter: 107, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1805.89, max: 2202.78
Date: 07-17 at 15:14:45, iter: 108, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1706.46, max: 1828.17
Date: 07-17 at 15:15:49, iter: 109, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1712.02, max: 1876.41
Date: 07-17 at 15:16:52, iter: 110, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1705.40, max: 1889.75
Date: 07-17 at 15:17:56, iter: 112, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1767.86, max: 1964.16
Date: 07-17 at 15:19:01, iter: 113, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1761.05, max: 2013.99
Date: 07-17 at 15:20:04, iter: 114, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1754.96, max: 2062.29
Date: 07-17 at 15:21:08, iter: 115, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1699.00, max: 1849.73
Date: 07-17 at 15:22:14, iter: 117, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1719.79, max: 1914.50
Date: 07-17 at 15:23:16, iter: 118, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1719.68, max: 1941.76
Date: 07-17 at 15:24:22, iter: 119, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1688.07, max: 1744.48
Date: 07-17 at 15:25:24, iter: 120, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1693.50, max: 1772.83
Date: 07-17 at 15:26:30, iter: 122, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1721.73, max: 1934.80
Date: 07-17 at 15:27:31, iter: 123, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1721.87, max: 1969.17
Date: 07-17 at 15:28:33, iter: 125, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 2140.18, max: 3012.52
Date: 07-17 at 15:29:37, iter: 126, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1745.62, max: 1879.00
Date: 07-17 at 15:30:43, iter: 128, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1777.54, max: 2012.17
Date: 07-17 at 15:31:48, iter: 129, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1776.59, max: 2002.81
Date: 07-17 at 15:32:52, iter: 130, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1723.55, max: 1931.30
Date: 07-17 at 15:33:55, iter: 131, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1748.59, max: 1991.35
Date: 07-17 at 15:35:00, iter: 133, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1768.29, max: 1965.65
Date: 07-17 at 15:36:02, iter: 134, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1662.16(20) mean: 1758.06, max: 2016.21
Date: 07-17 at 15:37:05, iter: 135, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1758.65, max: 1990.86
Date: 07-17 at 15:38:12, iter: 136, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1743.24, max: 2012.82
Date: 07-17 at 15:39:18, iter: 137, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1759.36, max: 2045.35
Date: 07-17 at 15:40:20, iter: 138, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1721.29, max: 1835.24
Date: 07-17 at 15:41:24, iter: 139, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1706.81, max: 1814.46
Date: 07-17 at 15:42:27, iter: 141, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1718.29, max: 1922.34
Date: 07-17 at 15:43:29, iter: 142, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1716.18, max: 1934.45
Date: 07-17 at 15:44:32, iter: 143, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1740.89, max: 1988.60
Date: 07-17 at 15:45:36, iter: 144, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1740.43, max: 1933.69
Date: 07-17 at 15:46:40, iter: 146, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1740.80, max: 1969.26
Date: 07-17 at 15:47:44, iter: 147, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1772.97, max: 1920.60
Date: 07-17 at 15:48:46, iter: 148, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1709.46, max: 1876.83
Date: 07-17 at 15:49:48, iter: 149, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1695.50, max: 1789.63
Date: 07-17 at 15:50:53, iter: 151, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1730.92, max: 1853.73
Date: 07-17 at 15:51:54, iter: 152, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1737.94, max: 1852.50
Date: 07-17 at 15:52:55, iter: 153, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1716.54, max: 1896.86
Date: 07-17 at 15:53:56, iter: 154, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1690.38, max: 1742.59
Date: 07-17 at 15:54:59, iter: 156, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1659.65(20) mean: 1706.94, max: 1873.20
Date: 07-17 at 15:56:00, iter: 157, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1656.34(20) mean: 1711.11, max: 1892.59
Date: 07-17 at 15:57:00, iter: 158, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1656.34(20) mean: 1702.01, max: 1903.78
Date: 07-17 at 15:58:03, iter: 159, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1656.34(20) mean: 1714.38, max: 1943.43
Date: 07-17 at 15:59:05, iter: 160, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1652.30(21) mean: 1684.46, max: 1738.59
Date: 07-17 at 16:00:03, iter: 161, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1687.56, max: 1765.08
Date: 07-17 at 16:01:05, iter: 162, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1699.72, max: 1758.30
Date: 07-17 at 16:02:04, iter: 163, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1682.39, max: 1743.89
Date: 07-17 at 16:03:06, iter: 164, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1681.07, max: 1716.58
Date: 07-17 at 16:04:09, iter: 165, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1716.51, max: 1771.69
Date: 07-17 at 16:05:14, iter: 167, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1753.10, max: 1891.60
Date: 07-17 at 16:06:13, iter: 168, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1695.44, max: 1788.41
Date: 07-17 at 16:07:15, iter: 169, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1688.24, max: 1751.96
Date: 07-17 at 16:08:18, iter: 170, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1690.84, max: 1761.30
Date: 07-17 at 16:09:20, iter: 172, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1720.61, max: 1905.79
Date: 07-17 at 16:10:21, iter: 173, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1740.31, max: 1928.39
Date: 07-17 at 16:11:22, iter: 174, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1717.47, max: 1950.59
Date: 07-17 at 16:12:25, iter: 175, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1692.73, max: 1942.14
Date: 07-17 at 16:13:30, iter: 177, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1710.37, max: 1868.42
Date: 07-17 at 16:14:29, iter: 178, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1677.19, max: 1733.39
Date: 07-17 at 16:15:30, iter: 179, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1678.48, max: 1716.58
Date: 07-17 at 16:16:32, iter: 180, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1684.93, max: 1756.95
Date: 07-17 at 16:17:39, iter: 182, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1723.58, max: 1931.06
Date: 07-17 at 16:18:42, iter: 183, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1702.05, max: 1823.22
Date: 07-17 at 16:19:47, iter: 184, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1708.40, max: 1824.69
Date: 07-17 at 16:20:48, iter: 186, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 2129.00, max: 2806.46
Date: 07-17 at 16:21:54, iter: 188, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1783.32, max: 1978.46
Date: 07-17 at 16:22:57, iter: 189, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1783.62, max: 2011.84
Date: 07-17 at 16:24:02, iter: 190, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1775.32, max: 2023.57
Date: 07-17 at 16:25:02, iter: 191, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1651.05(20) mean: 1770.79, max: 2047.97
