Date: 08-01 at 23:15:45, #particle: 15, iter: 86, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 1800.20, max: 2963.33
Date: 08-01 at 23:17:12, #particle: 15, iter: 88, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 1354.45, max: 2124.67
Date: 08-01 at 23:18:38, #particle: 15, iter: 89, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 935.85, max: 1368.70
Date: 08-01 at 23:19:48, #particle: 15, iter: 90, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 818.48, max: 924.71
Date: 08-01 at 23:20:57, #particle: 15, iter: 91, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 758.83, max: 853.98
Date: 08-01 at 23:22:12, #particle: 15, iter: 93, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 942.82, max: 1286.82
Date: 08-01 at 23:23:19, #particle: 15, iter: 94, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 770.72, max: 803.80
Date: 08-01 at 23:24:30, #particle: 15, iter: 95, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 754.23, max: 805.67
Date: 08-01 at 23:25:42, #particle: 15, iter: 97, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 3031.60, max: 3831.82
Date: 08-01 at 23:27:01, #particle: 15, iter: 99, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 2117.43, max: 3013.57
Date: 08-01 at 23:28:18, #particle: 15, iter: 100, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 1344.95, max: 2512.09
Date: 08-01 at 23:29:37, #particle: 15, iter: 101, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 899.55, max: 989.82
Date: 08-01 at 23:30:54, #particle: 15, iter: 102, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 878.32, max: 979.69
Date: 08-01 at 23:32:12, #particle: 15, iter: 104, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 1040.86, max: 1204.76
Date: 08-01 at 23:33:34, #particle: 15, iter: 105, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 911.46, max: 1045.03
Date: 08-01 at 23:34:54, #particle: 15, iter: 106, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 880.90, max: 986.38
Date: 08-01 at 23:36:15, #particle: 15, iter: 107, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 865.33, max: 1007.24
Date: 08-01 at 23:37:40, #particle: 15, iter: 110, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 3103.87, max: 3744.00
Date: 08-01 at 23:39:11, #particle: 15, iter: 111, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 1848.92, max: 2647.03
Date: 08-01 at 23:40:43, #particle: 15, iter: 112, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 920.44, max: 1043.13
Date: 08-01 at 23:42:10, #particle: 15, iter: 113, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 928.10, max: 1046.60
Date: 08-01 at 23:43:37, #particle: 15, iter: 115, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 1009.32, max: 1179.40
Date: 08-01 at 23:45:04, #particle: 15, iter: 116, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 834.21, max: 1011.79
Date: 08-01 at 23:46:29, #particle: 15, iter: 117, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 775.57, max: 882.11
Date: 08-01 at 23:47:54, #particle: 15, iter: 118, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 755.72, max: 808.56
Date: 08-01 at 23:49:28, #particle: 15, iter: 120, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 820.43, max: 1032.40
Date: 08-01 at 23:50:53, #particle: 15, iter: 122, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 2812.58, max: 3890.09
Date: 08-01 at 23:52:24, #particle: 15, iter: 123, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 2446.17, max: 3237.12
Date: 08-01 at 23:53:58, #particle: 15, iter: 124, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 1570.00, max: 2283.63
Date: 08-01 at 23:55:32, #particle: 15, iter: 126, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 1293.06, max: 1879.43
Date: 08-01 at 23:57:01, #particle: 15, iter: 127, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 825.87, max: 1126.70
