Date: 09-16 at 21:28:13, #particle: 15, iter: 57, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 856.62(10), mean: 950.45, max: 1294.31
Date: 09-17 at 17:23:22, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1363.02(11), mean: 3281.21, max: 3934.25
Date: 09-17 at 17:24:19, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1178.16(11), mean: 3185.21, max: 3743.07
Date: 09-17 at 17:25:18, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1152.70(11), mean: 3106.58, max: 3486.76
Date: 09-17 at 17:26:20, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1128.18(11), mean: 2933.01, max: 3401.97
Date: 09-17 at 17:27:17, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1125.54(11), mean: 2560.27, max: 3115.62
Date: 09-17 at 17:28:26, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1125.54(11), mean: 1230.28, max: 1333.29
Date: 09-17 at 17:29:24, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1125.54(11), mean: 1268.41, max: 1372.36
Date: 09-17 at 17:30:22, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1125.54(11), mean: 1324.62, max: 1448.29
Date: 09-17 at 17:31:24, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1125.54(11), mean: 1281.68, max: 1482.71
Date: 09-17 at 17:32:25, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1125.54(11), mean: 1424.73, max: 1579.43
Date: 09-17 at 17:33:34, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1112.06(13), mean: 1187.68, max: 1397.50
Date: 09-17 at 17:34:35, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1043.49(12), mean: 1143.12, max: 1268.29
Date: 09-17 at 17:35:35, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1042.77(12), mean: 1175.39, max: 1269.59
Date: 09-17 at 17:36:33, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1042.77(12), mean: 1223.82, max: 1342.15
