Date: 07-05 at 00:45:13, iter: 107, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1296.71(8) mean: 1583.72, max: 1846.68
Date: 07-05 at 00:46:27, iter: 108, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1296.71(8) mean: 1404.55, max: 1567.13
Date: 07-05 at 00:47:56, iter: 109, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1295.22(8) mean: 1375.69, max: 1553.93
Date: 07-05 at 00:49:01, iter: 110, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1364.45, max: 1560.38
Date: 07-05 at 00:50:10, iter: 111, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1339.23, max: 1474.38
Date: 07-05 at 00:51:22, iter: 112, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1323.50, max: 1434.21
Date: 07-05 at 00:52:49, iter: 113, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1317.61, max: 1440.47
Date: 07-05 at 00:54:35, iter: 114, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1315.87, max: 1440.47
Date: 07-05 at 00:56:00, iter: 116, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1504.56, max: 1990.95
Date: 07-05 at 00:57:32, iter: 117, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1436.16, max: 1962.18
Date: 07-05 at 00:58:51, iter: 118, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1411.28, max: 1807.95
Date: 07-05 at 01:00:03, iter: 119, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1365.32, max: 1693.87
Date: 07-05 at 01:01:24, iter: 121, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1554.97, max: 1793.50
Date: 07-05 at 01:02:36, iter: 122, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1464.54, max: 1644.19
Date: 07-05 at 01:03:55, iter: 123, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1400.39, max: 1607.87
Date: 07-05 at 01:05:22, iter: 124, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1352.95, max: 1489.85
Date: 07-05 at 01:06:45, iter: 126, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1612.33, max: 2101.89
Date: 07-05 at 01:08:20, iter: 127, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1505.20, max: 2061.00
Date: 07-05 at 01:09:20, iter: 128, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1416.27, max: 1685.02
Date: 07-05 at 01:10:46, iter: 129, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1398.15, max: 1711.91
Date: 07-05 at 01:12:19, iter: 131, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1606.95, max: 1841.47
Date: 07-05 at 01:13:22, iter: 132, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1451.99, max: 1656.58
Date: 07-05 at 01:14:44, iter: 133, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1417.37, max: 1614.86
Date: 07-05 at 01:15:58, iter: 134, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1340.23, max: 1438.59
Date: 07-05 at 01:17:04, iter: 136, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1576.11, max: 1792.20
Date: 07-05 at 01:18:20, iter: 137, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1397.59, max: 1601.69
Date: 07-05 at 01:19:36, iter: 138, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1361.67, max: 1469.37
Date: 07-05 at 01:21:02, iter: 139, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1341.92, max: 1401.50
Date: 07-05 at 01:22:23, iter: 141, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1601.45, max: 1927.83
Date: 07-05 at 01:23:51, iter: 142, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1471.08, max: 1825.81
Date: 07-05 at 01:25:11, iter: 143, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1368.62, max: 1528.31
Date: 07-05 at 01:26:40, iter: 144, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1344.09, max: 1455.73
Date: 07-05 at 01:28:01, iter: 146, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1635.59, max: 1949.05
Date: 07-05 at 01:29:29, iter: 147, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1463.67, max: 1809.47
Date: 07-05 at 01:30:41, iter: 148, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1399.72, max: 1734.36
Date: 07-05 at 01:32:11, iter: 149, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1385.24, max: 1539.14
Date: 07-05 at 01:33:26, iter: 151, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1628.81, max: 1953.61
Date: 07-05 at 01:34:30, iter: 152, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1454.97, max: 1808.06
Date: 07-05 at 01:35:44, iter: 153, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1361.52, max: 1486.75
Date: 07-05 at 01:37:09, iter: 154, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1354.42, max: 1495.23
Date: 07-05 at 01:38:33, iter: 156, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1630.73, max: 2096.49
Date: 07-05 at 01:39:48, iter: 157, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1489.29, max: 2079.54
Date: 07-05 at 01:41:07, iter: 158, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1285.82(9) mean: 1408.03, max: 1918.89
