Date: 07-06 at 12:46:40, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1171.50, max: 1189.63
Date: 07-06 at 12:47:46, iter: 59, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1169.41, max: 1179.68
Date: 07-06 at 12:48:55, iter: 60, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.71, max: 1178.71
Date: 07-06 at 12:50:06, iter: 61, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.71, max: 1178.71
Date: 07-06 at 12:51:14, iter: 62, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1178.47, max: 1214.60
Date: 07-06 at 12:52:22, iter: 63, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.78, max: 1177.38
Date: 07-06 at 12:53:30, iter: 64, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1171.19, max: 1192.37
Date: 07-06 at 12:54:42, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1170.09, max: 1186.90
Date: 07-06 at 12:55:50, iter: 66, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1167.48, max: 1177.38
Date: 07-06 at 12:56:55, iter: 67, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1171.24, max: 1208.92
Date: 07-06 at 12:58:06, iter: 68, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1167.77, max: 1196.41
Date: 07-06 at 12:59:19, iter: 69, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.59, max: 1166.57
Date: 07-06 at 13:00:27, iter: 70, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:01:34, iter: 71, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:02:43, iter: 72, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:03:53, iter: 73, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:05:04, iter: 74, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:06:08, iter: 75, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:07:14, iter: 76, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:08:23, iter: 77, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:09:33, iter: 78, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:10:41, iter: 79, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:11:49, iter: 80, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 13:12:56, iter: 81, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
