Date: 07-16 at 04:01:44, iter: 151, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 589.62, max: 601.65
Date: 07-16 at 04:04:51, iter: 153, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 590.40, max: 601.65
Date: 07-16 at 04:05:21, iter: 154, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 589.62, max: 601.65
Date: 07-16 at 04:05:53, iter: 155, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 04:06:21, iter: 156, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 04:09:04, iter: 158, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 600.55, max: 662.78
Date: 07-16 at 04:09:32, iter: 159, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 589.31, max: 600.82
Date: 07-16 at 04:10:02, iter: 160, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 04:10:32, iter: 161, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 04:13:01, iter: 163, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 591.62, max: 600.22
Date: 07-16 at 04:13:30, iter: 164, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 04:13:59, iter: 165, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 04:14:29, iter: 166, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 588.49, max: 588.49
Date: 07-16 at 04:16:55, iter: 168, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 602.71, max: 662.78
Date: 07-16 at 04:17:25, iter: 169, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 588.49(3) mean: 592.46, max: 622.95
