Date: 07-06 at 05:54:29, iter: 168, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1505.88, max: 1573.62
Date: 07-06 at 05:55:43, iter: 170, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1576.81, max: 1680.03
Date: 07-06 at 05:56:55, iter: 171, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1509.94, max: 1578.54
Date: 07-06 at 05:57:59, iter: 172, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1513.80, max: 1599.08
Date: 07-06 at 05:59:13, iter: 173, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1509.32, max: 1574.98
Date: 07-06 at 06:00:34, iter: 175, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1521.06, max: 1600.61
Date: 07-06 at 06:01:39, iter: 177, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 2051.46, max: 2816.32
Date: 07-06 at 06:02:54, iter: 178, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1589.92, max: 1761.97
Date: 07-06 at 06:04:12, iter: 179, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1577.47, max: 1743.34
Date: 07-06 at 06:05:20, iter: 181, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1651.28, max: 1971.74
Date: 07-06 at 06:06:31, iter: 182, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1642.83, max: 1999.28
Date: 07-06 at 06:07:43, iter: 183, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1492.74(19) mean: 1660.69, max: 2046.31
