Date: 08-05 at 19:05:02, iter: 80, new3, Khoo: 753.15, current_best: 813.16 best obj: 813.16(4) mean: 844.44, max: 973.38
Date: 08-05 at 19:05:53, iter: 81, new3, Khoo: 753.15, current_best: 813.16 best obj: 813.16(4) mean: 890.65, max: 1065.95
Date: 08-05 at 19:06:39, iter: 82, new3, Khoo: 753.15, current_best: 813.16 best obj: 813.16(4) mean: 830.69, max: 903.53
Date: 08-05 at 19:07:33, iter: 83, new3, Khoo: 753.15, current_best: 813.16 best obj: 813.16(4) mean: 832.47, max: 928.38
Date: 08-05 at 19:08:27, iter: 85, new3, Khoo: 753.15, current_best: 813.16 best obj: 813.16(4) mean: 1252.15, max: 1560.57
Date: 08-05 at 19:09:25, iter: 86, new3, Khoo: 753.15, current_best: 813.16 best obj: 813.16(4) mean: 1179.99, max: 1518.28
Date: 08-05 at 19:10:27, iter: 87, new3, Khoo: 753.15, current_best: 813.16 best obj: 813.16(4) mean: 915.98, max: 1044.89
Date: 08-05 at 19:11:17, iter: 88, new3, Khoo: 753.15, current_best: 813.16 best obj: 813.16(4) mean: 966.31, max: 1072.57
Date: 08-05 at 19:12:13, iter: 90, new3, Khoo: 753.15, current_best: 813.16 best obj: 813.16(4) mean: 1101.11, max: 1401.87
Date: 08-05 at 19:13:07, iter: 92, new3, Khoo: 753.15, current_best: 813.16 best obj: 813.16(5) mean: 883.63, max: 1192.86
Date: 08-05 at 19:14:22, iter: 93, new3, Khoo: 753.15, current_best: 813.16 best obj: 901.19(6) mean: 1413.51, max: 1956.56
Date: 08-05 at 19:15:27, iter: 94, new3, Khoo: 753.15, current_best: 813.16 best obj: 859.37(5) mean: 1394.82, max: 2028.28
Date: 08-05 at 19:16:28, iter: 96, new3, Khoo: 753.15, current_best: 813.16 best obj: 836.66(5) mean: 1555.08, max: 2234.53
Date: 08-05 at 19:17:20, iter: 97, new3, Khoo: 753.15, current_best: 813.16 best obj: 819.12(4) mean: 1489.19, max: 2235.67
Date: 08-05 at 19:18:18, iter: 98, new3, Khoo: 753.15, current_best: 813.16 best obj: 819.12(4) mean: 1505.93, max: 2253.12
Date: 08-05 at 19:19:23, iter: 99, new3, Khoo: 753.15, current_best: 813.16 best obj: 819.12(4) mean: 1274.57, max: 1867.99
Date: 08-05 at 19:20:13, iter: 100, new3, Khoo: 753.15, current_best: 804.75 best obj: 804.75(4) mean: 841.24, max: 957.02
Date: 08-05 at 19:21:02, iter: 101, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 826.68, max: 867.89
Date: 08-05 at 19:21:48, iter: 102, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 823.91, max: 863.93
Date: 08-05 at 19:22:41, iter: 103, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 821.31, max: 859.61
Date: 08-05 at 19:23:34, iter: 104, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 820.63, max: 859.61
Date: 08-05 at 19:24:31, iter: 106, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 1088.99, max: 1444.23
Date: 08-05 at 19:25:23, iter: 107, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 941.71, max: 1230.85
Date: 08-05 at 19:26:18, iter: 108, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 869.64, max: 1128.65
Date: 08-05 at 19:27:17, iter: 109, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 820.05, max: 1079.98
Date: 08-05 at 19:28:15, iter: 111, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 1109.99, max: 1473.48
Date: 08-05 at 19:29:12, iter: 113, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(5) mean: 997.41, max: 1434.66
Date: 08-05 at 19:30:02, iter: 114, new3, Khoo: 753.15, current_best: 803.65 best obj: 818.63(4) mean: 904.06, max: 1024.27
Date: 08-05 at 19:30:52, iter: 115, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 880.73, max: 956.01
Date: 08-05 at 19:31:41, iter: 117, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 1148.51, max: 1533.27
Date: 08-05 at 19:32:25, iter: 118, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 995.53, max: 1258.35
Date: 08-05 at 19:33:21, iter: 119, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 942.95, max: 1145.43
Date: 08-05 at 19:34:13, iter: 120, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 875.76, max: 1010.12
Date: 08-05 at 19:35:14, iter: 122, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 1185.20, max: 1447.95
Date: 08-05 at 19:36:01, iter: 123, new3, Khoo: 753.15, current_best: 803.65 best obj: 803.65(4) mean: 975.59, max: 1201.47
Date: 08-05 at 19:36:49, iter: 124, new3, Khoo: 753.15, current_best: 801.06 best obj: 801.06(4) mean: 894.55, max: 1158.83
Date: 08-05 at 19:37:34, iter: 125, new3, Khoo: 753.15, current_best: 799.85 best obj: 799.85(4) mean: 934.22, max: 1194.06
Date: 08-05 at 19:38:27, iter: 126, new3, Khoo: 753.15, current_best: 799.59 best obj: 799.59(4) mean: 829.64, max: 937.16
Date: 08-05 at 19:39:18, iter: 127, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 822.01, max: 878.72
Date: 08-05 at 19:40:10, iter: 128, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 820.41, max: 876.39
Date: 08-05 at 19:41:01, iter: 129, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 861.61, max: 959.32
Date: 08-05 at 19:42:07, iter: 130, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 805.34, max: 903.64
Date: 08-05 at 19:42:54, iter: 132, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 1147.85, max: 1522.80
Date: 08-05 at 19:43:45, iter: 133, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 1045.15, max: 1453.58
Date: 08-05 at 19:44:31, iter: 134, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 860.46, max: 963.67
Date: 08-05 at 19:45:34, iter: 135, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 843.17, max: 975.05
Date: 08-05 at 19:46:41, iter: 137, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 1114.56, max: 1580.42
Date: 08-05 at 19:47:39, iter: 139, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(5) mean: 983.92, max: 1513.74
Date: 08-05 at 19:48:31, iter: 140, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 871.44, max: 1007.53
Date: 08-05 at 19:49:32, iter: 141, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 870.96, max: 1001.23
Date: 08-05 at 19:50:24, iter: 143, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 1132.64, max: 1544.87
Date: 08-05 at 19:51:26, iter: 144, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 1007.50, max: 1504.15
Date: 08-05 at 19:52:19, iter: 145, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 978.28, max: 1275.32
Date: 08-05 at 19:53:09, iter: 146, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 961.59, max: 1268.43
Date: 08-05 at 19:53:55, iter: 148, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 1163.80, max: 1569.83
Date: 08-05 at 19:54:48, iter: 149, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(4) mean: 1054.19, max: 1356.13
Date: 08-05 at 19:55:50, iter: 151, new3, Khoo: 753.15, current_best: 799.06 best obj: 799.06(5) mean: 885.01, max: 1020.37
Date: 08-05 at 19:56:52, iter: 152, new3, Khoo: 753.15, current_best: 799.06 best obj: 960.58(6) mean: 1194.24, max: 1680.27
Date: 08-05 at 19:57:48, iter: 154, new3, Khoo: 753.15, current_best: 799.06 best obj: 866.03(6) mean: 1317.82, max: 2178.51
Date: 08-05 at 19:59:13, iter: 155, new3, Khoo: 753.15, current_best: 799.06 best obj: 857.38(6) mean: 1308.89, max: 2171.27
Date: 08-05 at 20:00:06, iter: 156, new3, Khoo: 753.15, current_best: 799.06 best obj: 856.43(6) mean: 1308.05, max: 2051.87
Date: 08-05 at 20:01:19, iter: 157, new3, Khoo: 753.15, current_best: 799.06 best obj: 856.43(6) mean: 1266.70, max: 1992.13
Date: 08-05 at 20:02:39, iter: 159, new3, Khoo: 753.15, current_best: 799.06 best obj: 856.43(6) mean: 1279.62, max: 1753.17
Date: 08-05 at 20:03:55, iter: 160, new3, Khoo: 753.15, current_best: 799.06 best obj: 856.43(6) mean: 1174.12, max: 1771.17
Date: 08-05 at 20:04:56, iter: 161, new3, Khoo: 753.15, current_best: 799.06 best obj: 856.43(6) mean: 1142.80, max: 1543.29
Date: 08-05 at 20:06:12, iter: 163, new3, Khoo: 753.15, current_best: 799.06 best obj: 856.43(7) mean: 947.08, max: 1137.85
Date: 08-05 at 20:07:14, iter: 165, new3, Khoo: 753.15, current_best: 799.06 best obj: 897.16(7) mean: 1090.37, max: 1479.30
Date: 08-05 at 20:08:33, iter: 167, new3, Khoo: 753.15, current_best: 799.06 best obj: 876.34(7) mean: 1912.08, max: 3408.93
Date: 08-05 at 20:09:51, iter: 168, new3, Khoo: 753.15, current_best: 799.06 best obj: 875.48(7) mean: 1144.63, max: 2867.50
Date: 08-05 at 20:11:02, iter: 169, new3, Khoo: 753.15, current_best: 799.06 best obj: 875.48(7) mean: 1145.45, max: 2648.97
Date: 08-05 at 20:12:10, iter: 171, new3, Khoo: 753.15, current_best: 799.06 best obj: 875.48(7) mean: 1224.32, max: 2340.25
Date: 08-05 at 20:13:25, iter: 172, new3, Khoo: 753.15, current_best: 799.06 best obj: 875.48(7) mean: 960.98, max: 1031.95
Date: 08-05 at 20:14:48, iter: 173, new3, Khoo: 753.15, current_best: 799.06 best obj: 875.48(7) mean: 1000.86, max: 1082.18
Date: 08-05 at 20:16:21, iter: 174, new3, Khoo: 753.15, current_best: 799.06 best obj: 875.48(7) mean: 954.02, max: 1053.24
