Date: 07-19 at 12:10:55, iter: 89, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1199.98(9) mean: 1282.94, max: 1529.68
Date: 07-19 at 12:11:42, iter: 90, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1199.98(9) mean: 1280.07, max: 1382.64
Date: 07-19 at 12:12:30, iter: 91, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1199.98(9) mean: 1297.88, max: 1398.09
Date: 07-19 at 12:13:19, iter: 92, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1199.98(9) mean: 1316.38, max: 1412.19
Date: 07-19 at 12:14:07, iter: 93, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1199.98(9) mean: 1264.48, max: 1365.53
Date: 07-19 at 12:14:54, iter: 95, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1199.98(9) mean: 1387.74, max: 1685.18
Date: 07-19 at 12:15:44, iter: 96, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1199.98(9) mean: 1306.53, max: 1523.21
Date: 07-19 at 12:16:30, iter: 97, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1199.98(9) mean: 1274.22, max: 1367.54
Date: 07-19 at 12:17:19, iter: 98, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1199.98(9) mean: 1283.87, max: 1361.28
Date: 07-19 at 12:18:04, iter: 100, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1192.22(9) mean: 1400.88, max: 1706.40
Date: 07-19 at 12:18:49, iter: 101, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1192.22(9) mean: 1285.85, max: 1713.99
Date: 07-19 at 12:19:35, iter: 102, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1241.84, max: 1369.78
Date: 07-19 at 12:20:19, iter: 103, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1237.70, max: 1303.32
Date: 07-19 at 12:21:05, iter: 104, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1230.76, max: 1310.91
Date: 07-19 at 12:21:50, iter: 105, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1219.25, max: 1271.88
Date: 07-19 at 12:22:34, iter: 106, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1216.06, max: 1271.09
Date: 07-19 at 12:23:23, iter: 108, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1501.33, max: 1864.74
Date: 07-19 at 12:24:10, iter: 109, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1464.41, max: 1824.70
Date: 07-19 at 12:24:55, iter: 110, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1280.11, max: 1410.84
Date: 07-19 at 12:25:43, iter: 111, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1280.98, max: 1429.59
Date: 07-19 at 12:26:31, iter: 113, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1492.50, max: 1763.18
Date: 07-19 at 12:27:19, iter: 114, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1380.54, max: 1758.49
Date: 07-19 at 12:28:04, iter: 115, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1272.80, max: 1440.23
Date: 07-19 at 12:28:53, iter: 116, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1271.94, max: 1456.39
Date: 07-19 at 12:29:39, iter: 118, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1418.99, max: 1642.18
Date: 07-19 at 12:30:27, iter: 119, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1310.99, max: 1523.17
Date: 07-19 at 12:31:12, iter: 120, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1273.87, max: 1422.85
Date: 07-19 at 12:31:58, iter: 121, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1246.40, max: 1348.60
Date: 07-19 at 12:32:46, iter: 123, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1388.01, max: 1717.86
Date: 07-19 at 12:33:34, iter: 124, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1341.80, max: 1740.84
Date: 07-19 at 12:34:24, iter: 125, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1245.86, max: 1287.28
Date: 07-19 at 12:35:07, iter: 126, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1237.26, max: 1285.07
Date: 07-19 at 12:35:55, iter: 128, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1186.67(9) mean: 1456.92, max: 1808.51
