Date: 08-01 at 03:16:16, #particle: 15, iter: 52, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1394.43, max: 1477.35
Date: 08-01 at 03:17:37, #particle: 15, iter: 54, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 2456.65, max: 2959.45
Date: 08-01 at 03:19:02, #particle: 15, iter: 55, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1765.57, max: 2867.24
Date: 08-01 at 03:20:21, #particle: 15, iter: 56, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1747.23, max: 2818.57
Date: 08-01 at 03:21:39, #particle: 15, iter: 57, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1694.45, max: 2632.73
Date: 08-01 at 03:22:55, #particle: 15, iter: 58, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1670.57, max: 2565.12
Date: 08-01 at 03:24:15, #particle: 15, iter: 59, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1451.02, max: 1706.88
Date: 08-01 at 03:25:32, #particle: 15, iter: 60, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1273.08(15), mean: 1471.42, max: 1759.24
Date: 08-01 at 03:26:49, #particle: 15, iter: 61, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1451.94, max: 1559.58
Date: 08-01 at 03:28:08, #particle: 15, iter: 62, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1463.78, max: 1602.69
Date: 08-01 at 03:29:27, #particle: 15, iter: 63, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1456.45, max: 1641.47
Date: 08-01 at 03:30:44, #particle: 15, iter: 64, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1362.04, max: 1434.20
Date: 08-01 at 03:32:00, #particle: 15, iter: 65, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1272.10(15), mean: 1409.92, max: 1483.62
