Date: 07-11 at 04:08:18, iter: 73, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.75(13) mean: 1390.60, max: 1453.41
Date: 07-11 at 04:09:10, iter: 74, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.75(13) mean: 1385.51, max: 1447.07
Date: 07-11 at 04:10:04, iter: 75, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.75(13) mean: 1386.72, max: 1459.66
Date: 07-11 at 04:10:52, iter: 76, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.75(13) mean: 1401.02, max: 1537.36
Date: 07-11 at 04:11:41, iter: 78, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1362.80(13) mean: 1445.96, max: 1685.79
Date: 07-11 at 04:12:34, iter: 79, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1417.68, max: 1681.80
Date: 07-11 at 04:13:26, iter: 80, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1443.44, max: 1713.42
Date: 07-11 at 04:14:13, iter: 81, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1392.48, max: 1452.39
Date: 07-11 at 04:15:04, iter: 82, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1391.14, max: 1480.28
Date: 07-11 at 04:16:00, iter: 83, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1396.94, max: 1481.91
Date: 07-11 at 04:16:56, iter: 85, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1418.63, max: 1580.64
Date: 07-11 at 04:17:43, iter: 86, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1416.93, max: 1573.73
Date: 07-11 at 04:18:35, iter: 87, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1395.12, max: 1475.42
Date: 07-11 at 04:19:27, iter: 88, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1408.81, max: 1511.79
Date: 07-11 at 04:20:14, iter: 90, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1549.88, max: 1902.88
Date: 07-11 at 04:21:02, iter: 91, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1492.49, max: 1943.40
Date: 07-11 at 04:21:52, iter: 92, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1448.68, max: 1495.89
Date: 07-11 at 04:22:41, iter: 93, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1399.15, max: 1451.20
Date: 07-11 at 04:23:33, iter: 95, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1465.86, max: 1731.56
Date: 07-11 at 04:24:23, iter: 96, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1418.48, max: 1662.62
Date: 07-11 at 04:25:16, iter: 97, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1412.64, max: 1609.13
Date: 07-11 at 04:26:01, iter: 98, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1407.19, max: 1605.81
Date: 07-11 at 04:26:52, iter: 100, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1415.05, max: 1624.95
Date: 07-11 at 04:27:42, iter: 101, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1387.12, max: 1422.68
Date: 07-11 at 04:28:31, iter: 102, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1387.63, max: 1435.27
Date: 07-11 at 04:29:19, iter: 103, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1398.16, max: 1458.59
Date: 07-11 at 04:30:14, iter: 105, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1410.93, max: 1533.90
Date: 07-11 at 04:31:07, iter: 106, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1391.88, max: 1454.94
Date: 07-11 at 04:31:57, iter: 107, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1426.72, max: 1518.62
Date: 07-11 at 04:32:42, iter: 108, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1360.03(13) mean: 1401.10, max: 1504.59
Date: 07-11 at 04:33:33, iter: 110, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.09(13) mean: 1457.71, max: 1714.97
Date: 07-11 at 04:34:27, iter: 111, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.09(13) mean: 1398.92, max: 1612.57
Date: 07-11 at 04:35:14, iter: 112, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.02(12) mean: 1381.00, max: 1479.30
Date: 07-11 at 04:36:04, iter: 113, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1377.60, max: 1447.22
Date: 07-11 at 04:36:53, iter: 114, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1375.03, max: 1432.62
Date: 07-11 at 04:37:46, iter: 115, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1392.46, max: 1468.31
Date: 07-11 at 04:38:35, iter: 116, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1374.42, max: 1431.45
Date: 07-11 at 04:39:22, iter: 117, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1373.00, max: 1431.16
Date: 07-11 at 04:40:16, iter: 119, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1403.34, max: 1568.23
Date: 07-11 at 04:41:09, iter: 120, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1384.78, max: 1462.32
Date: 07-11 at 04:41:55, iter: 121, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1386.68, max: 1469.01
Date: 07-11 at 04:42:41, iter: 122, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1431.61, max: 1520.89
Date: 07-11 at 04:43:36, iter: 124, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1492.26, max: 1716.23
Date: 07-11 at 04:44:23, iter: 125, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1349.43(12) mean: 1425.94, max: 1688.56
