Date: 07-17 at 16:33:20, iter: 60, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:33:48, iter: 61, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:34:16, iter: 62, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:34:43, iter: 63, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:35:14, iter: 64, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:35:40, iter: 65, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:36:09, iter: 66, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:36:42, iter: 67, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:37:22, iter: 68, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:37:52, iter: 69, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:38:19, iter: 70, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:38:45, iter: 71, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:39:13, iter: 72, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:39:39, iter: 73, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:40:14, iter: 74, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:40:55, iter: 75, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:41:23, iter: 76, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:41:50, iter: 77, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:42:17, iter: 78, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:42:50, iter: 79, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:43:24, iter: 80, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:43:54, iter: 81, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:44:19, iter: 82, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:44:47, iter: 83, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:45:25, iter: 84, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:45:53, iter: 85, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:46:27, iter: 86, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:46:55, iter: 87, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:47:20, iter: 88, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:47:49, iter: 89, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
Date: 07-17 at 16:48:18, iter: 90, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 729.05(6) mean: 729.05, max: 729.05
