Date: 08-02 at 04:01:42, #particle: 15, iter: 76, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8354.33, max: 8894.23
Date: 08-02 at 04:06:20, #particle: 15, iter: 77, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8264.47, max: 8840.23
Date: 08-02 at 04:12:00, #particle: 15, iter: 80, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8715.84, max: 9469.89
Date: 08-02 at 04:16:44, #particle: 15, iter: 81, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8707.73, max: 9437.83
Date: 08-02 at 04:21:29, #particle: 15, iter: 82, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8750.76, max: 9503.65
Date: 08-02 at 04:26:12, #particle: 15, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8678.00, max: 9483.51
Date: 08-02 at 04:31:40, #particle: 15, iter: 85, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 6474.08, max: 6953.32
Date: 08-02 at 04:36:23, #particle: 15, iter: 86, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 6528.39, max: 7021.61
Date: 08-02 at 04:41:08, #particle: 15, iter: 87, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 6499.40, max: 7047.19
Date: 08-02 at 04:45:49, #particle: 15, iter: 88, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 6408.39, max: 7052.59
Date: 08-02 at 04:50:22, #particle: 15, iter: 90, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 6678.30, max: 7617.97
Date: 08-02 at 04:55:20, #particle: 15, iter: 92, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8704.50, max: 9223.39
Date: 08-02 at 05:00:05, #particle: 15, iter: 93, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8740.69, max: 9239.41
Date: 08-02 at 05:04:35, #particle: 15, iter: 94, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8665.82, max: 9133.83
Date: 08-02 at 05:09:21, #particle: 15, iter: 96, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8750.57, max: 9214.36
Date: 08-02 at 05:13:57, #particle: 15, iter: 97, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5334.73(30), mean: 8731.65, max: 9128.82
