Date: 07-15 at 06:00:49, iter: 117, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1506.52(15) mean: 1517.20, max: 1573.65
Date: 07-15 at 06:01:57, iter: 118, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1505.67(15) mean: 1512.85, max: 1550.82
Date: 07-15 at 06:02:49, iter: 119, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1562.64, max: 1605.70
Date: 07-15 at 06:03:47, iter: 120, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1570.07, max: 1702.20
Date: 07-15 at 06:04:52, iter: 121, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1534.79, max: 1630.31
Date: 07-15 at 06:05:48, iter: 122, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1581.50, max: 1683.57
Date: 07-15 at 06:06:51, iter: 123, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1598.10, max: 1718.66
Date: 07-15 at 06:07:54, iter: 125, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1656.10, max: 1998.61
Date: 07-15 at 06:08:58, iter: 126, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1599.33, max: 1940.61
Date: 07-15 at 06:10:03, iter: 127, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1564.51, max: 1677.85
Date: 07-15 at 06:11:03, iter: 128, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1558.94, max: 1657.45
Date: 07-15 at 06:12:03, iter: 130, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1613.52, max: 1916.10
Date: 07-15 at 06:13:07, iter: 131, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1556.91, max: 1720.49
Date: 07-15 at 06:14:13, iter: 132, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1607.62, max: 1779.01
Date: 07-15 at 06:15:14, iter: 133, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1569.19, max: 1763.17
Date: 07-15 at 06:16:19, iter: 135, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1554.91, max: 1668.59
Date: 07-15 at 06:17:21, iter: 136, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1547.25, max: 1671.32
Date: 07-15 at 06:18:24, iter: 137, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1543.24, max: 1644.07
Date: 07-15 at 06:19:15, iter: 138, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1504.60(15) mean: 1548.16, max: 1644.88
Date: 07-15 at 06:20:25, iter: 140, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1500.56(16) mean: 1605.67, max: 1768.89
Date: 07-15 at 06:21:19, iter: 141, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1580.03, max: 1802.75
Date: 07-15 at 06:22:20, iter: 142, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1564.89, max: 1803.65
Date: 07-15 at 06:23:18, iter: 143, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1555.18, max: 1780.22
Date: 07-15 at 06:24:15, iter: 144, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1529.18, max: 1617.71
Date: 07-15 at 06:25:18, iter: 145, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1524.27, max: 1592.10
Date: 07-15 at 06:26:20, iter: 147, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1568.86, max: 1794.60
Date: 07-15 at 06:27:28, iter: 148, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1533.90, max: 1772.17
Date: 07-15 at 06:28:30, iter: 149, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1540.65, max: 1786.10
Date: 07-15 at 06:29:32, iter: 150, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1515.51, max: 1563.39
Date: 07-15 at 06:30:46, iter: 152, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1547.89, max: 1717.49
Date: 07-15 at 06:31:47, iter: 153, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1540.19, max: 1770.78
Date: 07-15 at 06:32:54, iter: 154, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1535.97, max: 1771.69
Date: 07-15 at 06:33:51, iter: 155, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1527.00, max: 1708.24
Date: 07-15 at 06:34:57, iter: 157, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1541.24, max: 1704.92
Date: 07-15 at 06:35:57, iter: 158, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1499.44(15) mean: 1512.69, max: 1589.29
