Date: 06-29 at 15:15:18, iter: 149, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1674.86, max: 1794.18
Date: 06-29 at 15:16:45, iter: 150, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1660.38, max: 1686.15
Date: 06-29 at 15:18:10, iter: 151, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1662.88, max: 1703.11
Date: 06-29 at 15:19:32, iter: 153, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1696.81, max: 1969.92
Date: 06-29 at 15:20:52, iter: 154, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1684.93, max: 1970.14
Date: 06-29 at 15:22:20, iter: 155, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1665.70, max: 1697.54
Date: 06-29 at 15:23:51, iter: 156, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1667.62, max: 1735.98
Date: 06-29 at 15:25:11, iter: 158, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1698.55, max: 1849.73
Date: 06-29 at 15:26:31, iter: 159, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1692.00, max: 1845.75
Date: 06-29 at 15:27:51, iter: 160, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1669.12, max: 1710.52
Date: 06-29 at 15:29:17, iter: 161, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1681.02, max: 1747.99
Date: 06-29 at 15:30:41, iter: 163, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1686.63, max: 1790.63
Date: 06-29 at 15:31:54, iter: 164, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1702.25, max: 1818.91
Date: 06-29 at 15:33:19, iter: 165, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1673.24, max: 1698.33
Date: 06-29 at 15:34:37, iter: 166, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1667.78, max: 1689.83
Date: 06-29 at 15:36:05, iter: 168, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1683.83, max: 1803.04
Date: 06-29 at 15:37:32, iter: 169, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1675.07, max: 1793.79
Date: 06-29 at 15:38:59, iter: 170, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1666.45, max: 1699.10
Date: 06-29 at 15:40:22, iter: 171, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1676.85, max: 1731.25
Date: 06-29 at 15:41:44, iter: 173, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1687.08, max: 1757.74
Date: 06-29 at 15:43:08, iter: 174, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1695.37, max: 1770.34
Date: 06-29 at 15:44:33, iter: 175, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1676.80, max: 1728.48
Date: 06-29 at 15:45:54, iter: 176, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1673.90, max: 1764.02
Date: 06-29 at 15:47:23, iter: 178, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1688.14, max: 1798.10
Date: 06-29 at 15:48:46, iter: 179, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1673.62, max: 1820.08
Date: 06-29 at 15:50:10, iter: 180, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1683.46, max: 1838.25
Date: 06-29 at 15:51:37, iter: 181, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1662.52, max: 1692.18
Date: 06-29 at 15:52:57, iter: 183, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1666.12, max: 1711.28
Date: 06-29 at 15:54:22, iter: 184, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1660.41, max: 1691.90
Date: 06-29 at 15:55:40, iter: 185, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1662.91, max: 1718.50
Date: 06-29 at 15:56:56, iter: 186, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1663.23, max: 1710.96
Date: 06-29 at 15:58:23, iter: 188, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1678.55, max: 1790.86
Date: 06-29 at 15:59:51, iter: 189, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1676.34, max: 1809.73
Date: 06-29 at 16:01:12, iter: 190, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1654.64, max: 1677.64
Date: 06-29 at 16:02:30, iter: 191, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1654.38, max: 1677.64
Date: 06-29 at 16:04:03, iter: 193, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1655.76, max: 1682.11
Date: 06-29 at 16:05:27, iter: 194, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1656.84, max: 1699.46
Date: 06-29 at 16:06:51, iter: 195, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1654.22, max: 1677.64
Date: 06-29 at 16:08:09, iter: 196, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1654.22, max: 1677.64
Date: 06-29 at 16:09:38, iter: 198, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1654.32, max: 1677.64
Date: 06-29 at 16:11:01, iter: 199, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1654.15, max: 1677.64
Date: 06-29 at 16:12:26, iter: 200, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1649.75(20) mean: 1658.69, max: 1727.48
