Date: 07-14 at 07:51:31, iter: 91, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1696.40, max: 1971.04
Date: 07-14 at 07:52:25, iter: 92, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1603.91, max: 1782.70
Date: 07-14 at 07:53:23, iter: 93, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1596.35, max: 1820.70
Date: 07-14 at 07:54:17, iter: 94, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1577.24, max: 1646.51
Date: 07-14 at 07:55:12, iter: 96, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1584.60, max: 1719.66
Date: 07-14 at 07:56:09, iter: 97, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1505.41(15) mean: 1562.69, max: 1654.80
Date: 07-14 at 07:57:03, iter: 98, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1576.42, max: 1699.15
Date: 07-14 at 07:57:53, iter: 99, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1590.52, max: 1671.88
Date: 07-14 at 07:58:50, iter: 100, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1560.79, max: 1655.02
Date: 07-14 at 07:59:46, iter: 101, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1556.44, max: 1688.22
Date: 07-14 at 08:00:38, iter: 102, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1560.08, max: 1640.89
Date: 07-14 at 08:01:37, iter: 104, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1504.70(15) mean: 1572.30, max: 1887.85
