Date: 07-20 at 03:23:10, #particle: 35, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1692.21, max: 1742.09
Date: 07-20 at 03:25:34, #particle: 35, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1721.97, max: 1802.72
Date: 07-20 at 03:28:17, #particle: 35, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 2163.26, max: 2888.12
Date: 07-20 at 03:30:57, #particle: 35, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1759.79, max: 1895.85
Date: 07-20 at 03:33:13, #particle: 35, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1784.12, max: 1955.27
Date: 07-20 at 03:35:34, #particle: 35, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1780.50, max: 1992.89
Date: 07-20 at 03:38:01, #particle: 35, iter: 56, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1777.73, max: 2055.06
Date: 07-20 at 03:40:35, #particle: 35, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1728.71, max: 1849.75
Date: 07-20 at 03:42:58, #particle: 35, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1740.97, max: 1906.53
Date: 07-20 at 03:45:14, #particle: 35, iter: 59, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1747.54, max: 1949.57
Date: 07-20 at 03:47:37, #particle: 35, iter: 60, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1720.24, max: 1896.42
Date: 07-20 at 03:49:57, #particle: 35, iter: 61, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1715.84, max: 1818.86
Date: 07-20 at 03:52:10, #particle: 35, iter: 62, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1733.59, max: 1859.59
Date: 07-20 at 03:54:30, #particle: 35, iter: 63, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1723.53, max: 1872.84
Date: 07-20 at 03:56:51, #particle: 35, iter: 64, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1739.46, max: 1913.80
Date: 07-20 at 03:59:16, #particle: 35, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1709.49, max: 1955.75
Date: 07-20 at 04:01:36, #particle: 35, iter: 66, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1701.51, max: 1788.54
Date: 07-20 at 04:04:01, #particle: 35, iter: 67, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1697.79, max: 1817.96
Date: 07-20 at 04:06:14, #particle: 35, iter: 68, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1715.33, max: 1821.26
