Date: 07-03 at 11:57:00, iter: 99, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:58:32, iter: 100, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:00:11, iter: 101, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:01:50, iter: 102, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:03:14, iter: 103, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:04:49, iter: 104, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:06:23, iter: 105, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:07:55, iter: 106, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:09:21, iter: 107, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:10:47, iter: 108, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:12:25, iter: 109, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:14:05, iter: 110, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:15:43, iter: 111, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:17:18, iter: 112, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:18:51, iter: 113, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:20:19, iter: 114, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:21:53, iter: 115, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:23:35, iter: 116, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:25:04, iter: 117, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:26:33, iter: 118, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:28:13, iter: 119, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:29:45, iter: 120, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:31:17, iter: 121, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:32:46, iter: 122, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:34:21, iter: 123, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:35:53, iter: 124, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:37:22, iter: 125, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:38:51, iter: 126, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:40:20, iter: 127, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:41:46, iter: 128, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:43:19, iter: 129, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:44:52, iter: 130, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:46:20, iter: 131, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:47:49, iter: 132, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:49:21, iter: 133, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:50:58, iter: 134, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:52:28, iter: 135, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:53:52, iter: 136, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 12:55:21, iter: 137, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
